國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
99年 9月,4348211,3198,3622,406,56319,21178,665554,296789,1441,670,32094,21768,904,145147,57315,486841,2068968,170297,288208,27493
99年 10月,4586344,3301,5497,632,75648,18872,751420,304129,1074,1016,35052,23512,759,168460,95992,518334,2137078,179747,236338,29484
99年 11月,4682674,3506,7995,417,69132,88104,731383,352678,841,1363,34240,23886,832,210992,88181,496206,2087845,225546,228058,31467
99年 12月,4453774,4826,10328,882,70799,31239,784046,361315,1283,1708,35367,21294,1077,189188,59831,512422,1872897,224656,238135,32482
100,53148667,82913,69333,9220,865023,367831,9365241,4111753,15559,13966,445479,287294,9860,2195763,1009188,6403531,21662685,2643756,3224971,365299
100年 1月,4524616,22421,16606,1060,78780,29995,832688,363925,1365,1052,32080,20475,522,189354,74201,532342,1857435,227250,212810,30254
100年 2月,4525434,10339,5694,801,88496,20895,862161,335261,787,699,40652,19075,641,212426,65202,509799,1831944,268420,225032,27111
100年 3月,4955000,2191,5678,1161,80839,29779,960415,378381,852,1079,40939,27542,1101,196060,74184,587619,2016597,209970,306986,33626
100年 4月,4357002,4176,4947,412,57844,18773,817458,383950,877,1409,41150,23589,755,164958,80191,550596,1777858,121995,273655,32409
100年 5月,4561661,3228,3901,808,56355,46650,784957,374459,974,1333,33803,20552,690,200632,73483,565394,1864690,162999,337128,29624
100年 6月,4631252,3734,2144,1102,73727,27237,771939,365142,1010,1872,44158,22449,702,219187,63923,531796,1959513,214380,294609,32628
100年 7月,4501353,4829,2858,708,80145,32723,732087,347088,1062,1184,36394,21219,735,236108,113505,535203,1759784,228042,337724,29955
100年 8月,4503564,4976,2850,1006,89096,56205,866544,312934,1411,841,36934,24455,994,211709,76207,570274,1739796,206268,270218,30848
100年 9月,4195045,4417,3425,645,65991,22396,684704,303860,1331,1241,37251,41085,1035,153791,158801,495166,1708015,224978,257347,29566
100年 10月,4502945,10162,4772,395,75361,29920,794542,338699,2079,1268,35068,26854,891,151628,84293,575721,1823287,266311,251651,30043
100年 11月,3980121,5409,6198,366,65297,20811,592561,310577,1704,682,31565,20533,1180,139092,51201,509075,1682339,279001,232403,30127
100年 12月,3910675,7033,10261,754,53093,32447,665185,297476,2107,1306,35484,19467,616,120818,93999,440544,1641427,234142,225408,29109
101,48341770,86616,72452,8816,906288,310632,8340827,3893757,29342,15164,440134,250601,8371,1780188,1038940,5895459,19211318,2705204,2999102,348560
101年 1月,3453715,7428,10812,461,71583,20135,627241,311322,2065,784,25241,15566,363,138515,49291,415246,1413210,154836,166055,23561
101年 2月,4079594,9414,3051,772,73332,31198,706977,335763,2205,1158,33861,23830,794,148044,88103,417043,1698203,224148,252034,29664
101年 3月,4188761,5401,4033,959,88081,24313,769935,333343,3250,1277,36194,21163,771,148055,106594,559453,1639907,200675,216114,29243
101年 4月,4191733,2664,3441,1037,75080,18509,760916,336997,2541,1170,33388,23249,960,155241,142795,488255,1644333,218453,252999,29704
101年 5月,4209985,4806,3078,906,68884,33956,726661,312430,2312,1568,39644,21219,696,153037,128655,524831,1639599,259868,257735,30099
101年 6月,4093992,15225,2648,723,72636,20885,690079,291296,2285,1267,41826,18343,488,142675,102669,522877,1608569,213625,317951,27925
101年 7月,4482803,2640,3082,373,105601,22714,786874,329073,2347,1086,39868,21065,825,164655,98130,566524,1709355,288802,310165,29624
101年 8月,3856490,4643,3342,821,85001,19592,640755,285165,2043,1234,34602,19588,610,153238,73591,445194,1612043,200800,248017,26210
101年 9月,4085868,4617,7618,919,75738,26344,665826,330108,2387,1006,37542,24972,848,170708,56390,532581,1611670,215106,289357,32133
101年 10月,4341387,3249,9822,712,58338,27665,705481,383438,2917,1809,39687,24399,842,154062,63639,568944,1700888,296501,267913,31081
101年 11月,3516238,15063,7757,293,49205,20989,601595,322178,2260,1056,36756,17839,580,115268,65352,416596,1392001,208220,214965,28267
