"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"99年 8月",1690403,65691,12855,497,6107,9903,120075,113925,3197,4468,6664,30469,3079,35942,19868,147378,947382,55852,67675,39375
"99年 9月",1653357,49133,10335,1011,10520,11727,108592,106878,2145,5154,6816,27679,2859,37176,22552,134356,958758,40868,76653,40144
"99年 10月",1686822,61476,12476,978,10280,11742,107956,116438,3244,4988,8882,31819,2526,57197,18517,173810,904107,46344,67667,46374
"99年 11月",1636622,43279,8635,647,8460,13815,120746,109035,2666,4964,6600,33356,2212,43498,21687,173417,880460,45541,72695,44909
"99年 12月",1462461,41765,11704,1348,7552,10241,116726,100451,2929,4777,5760,30205,1792,35415,30014,137587,772826,52577,55438,43355
"100年",19120126,632532,184890,16114,96183,182596,1569988,1699869,42196,62608,97438,476820,38439,467301,398833,2218545,8805948,654952,861392,613483
"100年 1月",1643896,40720,12198,1542,7685,11007,139322,123009,4144,4456,9057,39218,3897,42552,43595,182610,790168,55615,75896,57206
"100年 2月",1442229,53308,12602,851,5426,19063,101995,107106,2039,3598,6154,34969,2768,36651,28585,140891,731844,36913,75401,42064
"100年 3月",1526222,55174,18495,1014,10261,8308,136167,133479,3164,4654,6415,35155,3712,30844,12772,163629,701125,71251,78034,52568
"100年 4月",1687080,44521,18809,1929,11763,14967,158937,162593,2976,5036,8287,42043,3730,40999,59709,204033,760584,48591,49230,48343
"100年 5月",1628185,41254,20257,1000,9954,13698,159683,166882,3461,5495,7291,41112,3201,40235,19116,187828,751566,51606,58088,46460
"100年 6月",1502760,66433,20108,1214,9062,10449,118803,144547,3832,4383,6479,37514,3023,35102,11669,181978,678445,48271,75470,45979
"100年 7月",1723556,52291,22527,1537,8470,35741,133291,160378,3668,4861,9313,41387,3031,53867,50918,209864,732167,65597,82459,52188
"100年 8月",1566510,68737,12731,1211,7713,16299,114224,138319,3091,5238,7620,43131,3855,40930,59035,186154,680199,52926,70827,54270
"100年 9月",1578208,46565,10326,1185,6424,22626,128595,142480,3522,5893,8517,39718,2845,39276,45612,174518,699060,51829,95263,53955
"100年 10月",1739140,46853,13400,1919,7144,12236,131771,151454,4597,6303,10932,43356,3282,38993,27760,223420,814423,59802,86459,55037
"100年 11月",1554988,65814,10276,1050,6377,9037,124270,134789,3337,6329,8732,39109,2370,36813,20589,197164,702289,65993,67192,53457
"100年 12月",1527350,50862,13161,1662,5904,9164,122930,134833,4366,6362,8641,40108,2725,31039,19472,166456,764077,46560,47074,51956
"101年",19517937,696916,199173,19402,83373,363357,1468951,1747604,49023,60413,129952,442624,41758,568172,289970,2076271,9113683,630457,876796,660041
"101年 1月",1421810,60758,12246,1359,5827,16506,107069,125826,3541,5527,9534,39447,2968,35039,14937,172830,625214,54522,72649,56011
"101年 2月",1494267,44672,15956,1342,7202,11625,109729,138089,3582,4312,15038,40022,3069,29434,35511,179525,670475,60190,69594,54900
"101年 3月",1508667,47830,22339,1650,6110,14052,127490,139684,4178,5175,13409,37513,4665,37447,14498,183424,661500,59031,63810,64862
"101年 4月",1556134,56608,18816,1284,7104,12348,130491,136779,3756,4810,12571,39439,3801,40599,22150,174700,722863,52878,60959,54178
"101年 5月",1702847,59118,19136,1655,9801,57451,138241,153803,3229,4626,9957,36908,3633,43988,49425,173776,778652,56725,50625,52097
"101年 6月",1640546,71668,21283,1574,6292,8863,107790,179994,4101,4115,9152,40388,3453,40746,16405,162002,794586,46670,70362,51102
"101年 7月",1674155,50061,19895,1665,7157,11876,132642,169018,3909,5015,11241,36252,3894,51374,19237,185044,788965,48865,75306,52738
"101年 8月",1586495,75556,15255,1668,8354,21488,105356,148285,4464,4537,9341,33254,3894,58529,17290,162182,742790,49646,73320,51285
"101年 9月",1873395,73820,14649,2065,5761,47080,127267,161486,4879,5262,9450,39042,3800,67260,14171,191736,910093,54419,83605,57548
"101年 10月",1683389,44549,13364,1380,9261,73315,129921,129179,4170,6077,11897,31199,3316,60487,12562,178897,774122,48639,95910,55146
"101年 11月",1707750,64437,11945,2065,5670,47147,130681,146625,4627,6672,10581,35652,2454,57203,27331,158288,802670,48278,90257,55164
"101年 12月",1668484,47840,14289,1695,4831,41605,122274,118837,4587,4284,7782,33507,2811,46066,46454,153865,841755,50596,70398,55009
"102年",19391110,492780,186015,17048,63950,267762,1442767,1623707,41210,66291,89433,393196,41701,472196,235804,1954438,9905248,621217,790472,685873
"102年 1月",1599669,53404,15548,2199,4770,51553,121748,136469,4263,5518,10149,32243,3218,47113,15253,168030,749939,52968,57655,67628
"102年 2月",1437065,33367,14359,1031,3524,91813,102333,123112,3181,4406,7694,29520,2752,32612,12906,128513,695086,46622,53260,50974
"102年 3月",1669170,25825,21281,1694,5894,11971,117803,151420,4081,5536,8069,36733,4950,44037,20534,166744,843913,57295,71229,70161
"102年 4月",1514839,38687,18248,1524,5310,8109,118202,125947,2795,6071,6390,32533,3559,37846,30152,163547,753809,51982,56733,53395
"102年 5月",1518141,41996,18086,1429,5655,9233,121262,147099,2158,4999,6930,32547,3232,34291,14756,162092,754274,45798,60738,51567
"102年 6月",1708088,57793,20040,1487,5893,20881,121463,147272,3891,6080,7131,32903,3952,39572,17875,155300,893997,48489,68700,55369
"102年 7月",1695559,61822,19123,1235,6436,14057,120772,132832,3544,6442,7511,33229,3410,40505,58478,163660,841428,53703,73351,54022
"102年 8月",1587074,42247,14988,1497,6946,17893,113874,129500,3615,5718,6482,33754,3520,39533,14270,166990,824124,46108,61802,54213
"102年 9月",1665717,41687,12287,1262,5230,20072,114508,143039,3954,5989,6874,32233,3648,44916,12019,165268,869232,51063,75124,57311
"102年 10月",1688637,33293,10540,1078,4300,7233,128660,128799,3552,5712,8183,32621,3547,34676,14958,183425,899210,54576,75276,58996
"102年 11月",1691111,33298,9483,1548,4807,6331,143170,146187,3588,5289,7367,33463,2983,35920,9445,171810,896930,52880,67035,59577
"102年 12月",1616038,29361,12031,1065,5185,8616,118971,112030,2588,4530,6653,31417,2931,41175,15157,159058,883307,59732,69569,52660
"103年",20129137,510037,178985,11879,66069,345787,1628172,1522346,38663,55980,72330,385515,44591,396473,239701,2086940,10397255,642928,817988,687498
"103年 1月",1676275,61738,13814,1216,3947,44615,131848,131839,3541,5206,6707,36519,3552,28860,12150,192466,804973,50760,71915,70609
"103年 2月",1356702,39368,12570,1236,3356,15082,110897,122519,1439,4005,5894,26590,3296,33817,13245,150453,668220,45197,51656,47862
"103年 3月",1804549,38591,20847,1375,5942,12907,161520,149620,5105,5476,7394,34044,5149,37152,40842,201029,855855,66802,82544,72355
"103年 4月",1466766,34774,15593,920,5894,12374,131651,124074,3786,4661,6013,26713,4203,37957,14936,157355,722676,47143,62440,53603
"103年 5月",1560037,38327,17097,1012,7513,18273,141176,144844,3339,5626,5929,33608,3817,33837,12230,172691,756300,43258,64696,56464
"103年 6月",1794873,53545,19457,968,6250,43449,154588,136343,3003,4550,5700,35200,3929,37710,20020,181124,900858,54214,78897,55068
"103年 7月",1665176,50275,19980,875,7063,34020,131349,120146,2639,4093,4821,32594,3249,38191,34644,175887,844326,44539,63400,53085
"103年 8月",1866973,41322,15472,1047,6961,33165,133968,126684,3973,5441,5394,33750,4162,36241,16602,183155,1053809,55477,54999,55351
"103年 9月",1864466,52825,11920,1102,6479,43067,145477,127779,3813,3892,8380,34043,4190,32733,20364,181840,1008836,53547,69416,54763
"103年 10月",1757993,35599,11343,721,3179,34204,133721,114094,2637,5462,4844,30483,3502,26966,17442,160557,968325,69640,79066,56208
"103年 11月",1754192,32923,10928,886,5373,21229,130791,126984,3151,4867,6236,34829,2727,31193,20503,187385,936529,57727,77349,62582
"103年 12月",1561135,30750,9964,521,4112,33402,121186,97420,2237,2701,5018,27142,2815,21816,16723,142998,876548,54624,61610,49548
"104年",19556522,474266,168595,9790,75703,129346,1398653,1304614,39038,39067,67251,357061,39950,273117,249400,1794554,11099827,588807,808169,639314
"104年 1月",1722789,51538,14647,1220,5642,5421,161367,125186,3081,3460,5173,36380,4314,27287,23099,165253,909863,54693,63615,61550
"104年 2月",1519405,26012,11538,504,4229,6898,101888,96300,3283,2881,4503,27568,3370,20963,55363,143340,834884,50107,69782,55992
"104年 3月",1597962,39705,16263,583,7146,8757,124595,105172,3022,3337,5439,29012,4412,24178,13044,156061,880786,54519,66325,55606
"104年 4月",1604454,29614,15533,637,8043,3733,126450,102638,2398,2934,4876,27224,3351,21066,15494,142007,937937,43698,62485,54336
"104年 5月",1693796,30250,17134,896,10255,9044,129518,127428,4995,3837,5897,30701,3902,25205,14688,166857,934189,50822,73814,54364
"104年 6月",1599413,48998,17341,891,6452,5052,112904,113586,3604,2831,5467,28627,2917,21253,17732,146473,903774,41749,73628,46134
"104年 7月",1669021,59100,18049,986,6595,8701,102577,118076,3541,3661,5519,31850,3559,21582,13040,148399,938727,55699,77259,52101
"104年 8月",1634838,35756,14203,704,6323,7856,112430,112487,4803,3420,5978,31555,3395,23034,12230,151336,936571,53561,65301,53895
"104年 9月",1594410,33283,10551,908,5464,7271,103846,101623,2567,2759,6669,26885,2971,20168,19668,137727,955690,43507,66697,46156
"104年 10月",1771063,39541,11013,599,5297,15756,119526,108187,2436,3408,5753,30913,2669,23759,25917,156474,1043747,50930,67861,57277
"104年 11月",1657891,43149,9269,1104,5603,24776,107216,106909,3237,3446,7430,30978,2690,27665,15852,147713,951875,53811,61223,53945
