"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"108年 10月",2946863,79952,150181,1366,58402,201283,338958,84167,2492,2755,34233,19509,636,18835,30370,97957,1188773,290392,249885,96717
"108年 11月",3242093,70946,201831,556,58754,539416,279215,81750,1450,2071,29551,16255,237,18889,22030,107323,1243575,205236,224712,138296
"108年 12月",3119377,79633,155681,740,64590,473056,293494,93216,1674,3151,34985,13643,380,19189,33111,108668,1212089,218331,226163,87583
"109年",32513548,1000450,1623449,6450,698459,3645744,3649345,1068038,20658,33695,405085,166217,4432,228059,342679,1087876,12051214,2119445,2971609,1390644
"109年 1月",2666101,76627,137844,469,49914,405215,247195,74419,2098,1546,24078,10503,671,16604,17204,100363,1114608,123198,187460,76085
"109年 2月",2895177,83505,166785,320,56400,463973,375640,88593,2888,3225,38439,16245,302,17678,32815,108484,1034561,112402,209600,83322
"109年 3月",3324398,87510,158289,486,64166,673376,311181,94583,3842,3412,36735,21017,306,22663,23549,105983,1118272,186179,309363,103486
"109年 4月",2308909,82513,135913,570,59248,81480,284480,98514,2546,2978,37102,19540,336,22960,23902,91164,947704,97797,221729,98433
"109年 5月",2429495,87474,105781,269,71575,208491,305266,99592,2232,3763,39963,15787,220,24220,15213,85425,912392,137571,226577,87684
"109年 6月",2469295,78815,121799,792,58457,236976,320104,95579,1430,5034,33551,13641,149,18935,24178,85975,887859,109835,276757,99429
"109年 7月",2352193,84935,121221,491,64948,149824,313943,83527,651,2456,33688,13819,113,16616,21909,94420,931463,94678,225527,97964
"109年 8月",2690892,87680,130335,842,54640,331458,290143,83763,608,2913,35170,12454,331,17870,33311,95411,973448,193720,260410,86385
"109年 9月",2507751,95574,101238,398,47260,348871,305986,84262,1003,2352,28376,9989,768,15431,53635,81267,893995,90441,240772,106133
"109年 10月",2914552,86891,109971,1043,59971,189293,277785,87425,653,2218,31852,9315,531,19199,36755,81890,1001350,308671,280484,329255
"109年 11月",2989777,79296,161599,383,60276,352335,331506,94743,978,2057,32795,12212,406,18204,35224,81373,1152744,219427,249807,104412
"109年 12月",2965008,69630,172674,387,51604,204452,286116,83038,1729,1741,33336,11695,299,17679,24984,76121,1082818,445526,283123,118056
"110年",39258764,945548,2055061,8933,780149,5575469,4062618,1236912,34145,41365,495674,201626,4094,282982,294242,1291858,14846648,2169449,3431092,1500899
"110年 1月",3109431,79440,184240,455,58775,239074,360676,104974,1941,2665,39082,12274,320,22097,24577,82103,1272951,277138,231799,114850
"110年 2月",2582640,42739,152040,264,45540,382519,271408,77747,1263,1579,30358,11269,157,21129,23477,79363,980912,148522,208737,103617
"110年 3月",3227754,75065,315072,688,75435,360118,350942,123926,2515,4049,39906,22595,368,22645,28553,122743,1118626,115329,285401,163778
"110年 4月",3107481,79241,265694,580,64973,464003,287143,92450,2550,3948,32203,19224,249,22662,19183,103292,1105825,114396,276435,153430
"110年 5月",3461161,66541,232558,731,65741,484893,355994,120885,2553,3616,43369,22007,707,26253,29086,119120,1256348,238483,286219,106057
"110年 6月",3368914,90360,161168,704,72267,649919,394763,98205,2994,3083,47453,20902,317,20771,18848,111798,1069484,142007,261935,201936
"110年 7月",3422915,89000,146215,722,63212,598081,319797,93532,2378,3768,46231,18804,285,19896,23667,112047,1422408,93122,289280,80470
"110年 8月",3713518,78895,112065,431,64775,691595,358169,115136,2353,5123,54311,20266,362,24765,28742,104874,1416249,172582,353214,109611
"110年 9月",3243130,90469,87806,1005,74777,400256,329860,108656,2553,3450,48342,15370,360,22441,23381,112967,1362500,130958,317063,110916
"110年 10月",3272523,69104,98347,957,60284,291499,353225,108927,6300,3342,44334,14549,223,27833,27218,126844,1324126,304379,304976,106056
"110年 11月",3050485,93295,167246,1608,72293,329814,370223,97569,3439,3719,36986,13246,426,25270,23335,118138,1184229,158106,240632,110911
"110年 12月",3698812,91399,132610,788,62077,683698,310418,94905,3306,3023,33099,11120,320,27220,24175,98569,1332990,274427,375401,139267
"111年 (1~9月)",34509844,978262,1847990,7340,647331,7072647,3155540,1079219,23207,25134,353415,173388,4310,253226,161697,1059311,12012383,1829739,2787874,1037831
"111年 1月",3634996,93207,278552,740,65176,627624,318523,102115,3085,2613,29718,11898,134,27642,16488,108832,1259163,261692,354334,73460
"111年 2月",3454899,117762,142232,768,74063,681754,315869,110298,2450,2161,34786,16533,315,28794,16006,136858,1216255,223342,243067,91586
"111年 3月",3819690,113651,312402,810,90007,757713,398564,133196,2659,3114,43345,18854,382,29369,19073,130269,1291093,94926,274162,106101
"111年 4月",3710676,100012,134780,1174,59679,712194,301717,113461,2254,2782,30393,16437,357,26746,20883,106141,1306443,325222,347533,102468
"111年 5月",4222195,108491,206315,1350,73234,920244,495594,129375,2833,3318,34576,22573,668,34611,24212,134190,1375104,255241,264762,135504
"111年 6月",3624813,99478,269326,787,75984,463110,395303,138348,3756,2650,42631,17088,863,31956,22756,124583,1359359,140098,333756,102981
"111年 7月",4037138,117313,228098,816,76176,933303,346347,126031,2304,2512,43729,24684,564,27671,18323,116480,1392200,156695,311098,112794
"111年 8月",4278374,126689,158260,359,69671,936207,294341,115332,1406,2877,50760,18773,649,25377,13510,109242,1581144,250336,312964,210477
"111年 9月",3727063,101659,118025,536,63341,1040498,289282,111063,2460,3107,43477,26548,378,21060,10446,92716,1231622,122187,346198,102460

